Adresse,Type d'intervention,Précision de l'intervention,Statut de l'intervention,Date de l'intervention,latitude,longitude
1 Rue de la Nuée-Bleue,Technique,Installation de matériel informatique,À planifier,2023-12-21 16:00:00,48.5864728,7.7468941
1 Rue de la Nuée-Bleue,Ménage,Nettoyage des locaux,En cours,2023-09-19 08:00:00,48.5864728,7.7468941
2 Rue du Dôme,Médiation,Gestion de conflit,Réalisé,2023-05-11 16:00:00,48.5840632,7.7493256
2 Rue du Dôme,Technique,Maintenance réseau,À planifier,2023-03-07 08:00:00,48.5840632,7.7493256
3 Rue de la Nuée-Bleue,Ménage,Nettoyage vitres,En cours,2023-07-06 16:00:00,48.5864079,7.7471727
3 Rue de la Nuée-Bleue,Médiation,Session de formation,Réalisé,2023-12-21 16:00:00,48.5864079,7.7471727
4 Rue du Vieux-Marché-aux-Poissons,Technique,Réparation de matériel,À planifier,2023-06-18 00:00:00,48.5798193,7.7503813
4 Rue du Vieux-Marché-aux-Poissons,Ménage,Nettoyage des bureaux,En cours,2023-07-25 08:00:00,48.5798193,7.7503813
5 Place Kléber,Médiation,Négociation,Réalisé,2023-04-04 08:00:00,48.5830648,7.7462671
5 Place Kléber,Technique,Mise à jour logiciels,À planifier,2023-04-04 08:00:00,48.5830648,7.7462671
6 Place de la Cathédrale,Ménage,Nettoyage des sols,En cours,2023-08-03 16:00:00,48.581161,7.7502537
6 Place de la Cathédrale,Médiation,Atelier de médiation,Réalisé,2023-11-23 16:00:00,48.581161,7.7502537
7 Rue des Juifs,Technique,Support utilisateur,À planifier,2023-12-31 00:00:00,48.5830842,7.7517221
7 Rue des Juifs,Ménage,Nettoyage des équipements,En cours,2023-08-03 16:00:00,48.5830842,7.7517221
8 Rue des Hallebardes,Médiation,Gestion de plainte,Réalisé,2023-01-19 16:00:00,48.5818628,7.7490982
8 Rue des Hallebardes,Technique,Vérification des connexions,À planifier,2023-07-16 00:00:00,48.5818628,7.7490982
9 Rue des Orfèvres,Ménage,Nettoyage des espaces communs,En cours,2023-01-10 08:00:00,48.5825494,7.7490086
9 Rue des Orfèvres,Médiation,Gestion de réunion,Réalisé,2023-08-03 16:00:00,48.5825494,7.7490086
10 Rue des Grandes Arcades,Technique,Diagnostic de panne,À planifier,2023-09-28 16:00:00,48.582814,7.7469308
10 Rue des Grandes Arcades,Ménage,Nettoyage des sanitaires,En cours,2023-12-12 08:00:00,48.582814,7.7469308
11 Rue des Francs-Bourgeois,Médiation,Formation technique,Réalisé,2023-01-10 08:00:00,48.5820825,7.7462635
11 Rue des Francs-Bourgeois,Technique,Audit de sécurité,À planifier,2023-07-06 16:00:00,48.5820825,7.7462635
12 Rue du Sanglier,Ménage,Nettoyage des façades,En cours,2023-10-26 16:00:00,48.5827033,7.7495821
12 Rue du Sanglier,Médiation,Session d'écoute,Réalisé,2023-04-13 16:00:00,48.5827033,7.7495821
13 Rue du Marché,Technique,Révision des systèmes,À planifier,2023-07-16 00:00:00,48.584484,7.7433873
13 Rue du Marché,Ménage,Nettoyage des meubles,En cours,2023-08-13 00:00:00,48.584484,7.7433873
14 Rue de la Mésange,Médiation,Atelier participatif,Réalisé,2023-08-31 16:00:00,48.584242,7.7475949
14 Rue de la Mésange,Technique,Optimisation réseau,À planifier,2023-09-10 00:00:00,48.584242,7.7475949
15 Rue des Bouchers,Ménage,Nettoyage des claviers,En cours,2023-05-21 00:00:00,48.5774239,7.750293
15 Rue des Bouchers,Médiation,Gestion de conflit,Réalisé,2023-05-11 16:00:00,48.5774239,7.750293
16 Rue des Tonneliers,Technique,Réparation urgente,À planifier,2023-01-19 16:00:00,48.5800978,7.7492688
16 Rue des Tonneliers,Ménage,Nettoyage des luminaires,En cours,2023-12-03 00:00:00,48.5800978,7.7492688
17 Rue du Jeu-des-Enfants,Médiation,Coordination de projet,Réalisé,2023-02-26 00:00:00,48.5834259,7.7414668
17 Rue du Jeu-des-Enfants,Technique,Installation logiciels,À planifier,2023-07-06 16:00:00,48.5834259,7.7414668
18 Rue du Fossé-des-Tailleurs,Ménage,Support technique,En cours,2023-03-16 16:00:00,48.5816254,7.749099
18 Rue du Fossé-des-Tailleurs,Médiation,Nettoyage des moquettes,Réalisé,2023-12-21 16:00:00,48.5816254,7.749099
19 Rue des Serruriers,Technique,Analyse de performance,À planifier,2023-06-08 16:00:00,48.5809609,7.7476708
19 Rue des Serruriers,Ménage,Nettoyage des rideaux,En cours,2023-01-29 00:00:00,48.5809609,7.7476708
20 Rue des Grandes Arcades,Médiation,Discussion médiatrice,Réalisé,2023-08-13 00:00:00,48.5823563,7.7473854
20 Rue des Grandes Arcades,Technique,Sécurisation des accès,À planifier,2023-05-02 08:00:00,48.5823563,7.7473854
7 Rue des Juifs,Menage,Nettoyage Sol,À planifier,undefined undefined:00,48.5830842,7.7517221
7 Rue des Juifs,menage,nettoyage sol,En cours,undefined undefined:00,48.5830842,7.7517221
dsa,dsa,dsadas,En cours,,,
,7 Rue des Juifs,dsa,En cours,,48.58353656836734,7.757139114431487
7 Rue des Juifs,Menage,nettoyage sol,En cours,2024-07-17 13:00:00,48.5830842,7.7517221
